k,affinity,eigen_solver,silhouette,davies_bouldin,adjusted_rand_score,homogeneity_completeness_v_measure
2,nearest_neighbors,lobpcg,0.36713011600182877,1.287172989621169,-0.04464219336113893,"(np.float64(0.009112168022168259), np.float64(0.006357613341105614), np.float64(0.0074896521965935265))"
2,rbf_gamma0.1,lobpcg,0.40673953677950175,0.8695521509901563,-0.05580773028113146,"(np.float64(0.01704417327045525), np.float64(0.017261817990483357), np.float64(0.017152305237590173))"
2,rbf_gamma1,lobpcg,0.4075161877626092,0.857692053832926,-0.05536107135451458,"(np.float64(0.016734175514944525), np.float64(0.01716859606374582), np.float64(0.016948602518178348))"
2,rbf_gamma10,lobpcg,0.44861057066845733,0.4185353137298452,-0.0004938800401483179,"(np.float64(7.27372347066184e-05), np.float64(0.006843885183257012), np.float64(0.0001439446171260786))"
3,nearest_neighbors,lobpcg,0.03877634654942946,1.7539759622273505,-0.04268015723580696,"(np.float64(0.018210446111399534), np.float64(0.005678791777855415), np.float64(0.008657733840476233))"
3,rbf_gamma0.1,lobpcg,0.2153630410422039,1.7243625111797016,-0.009691372390416144,"(np.float64(0.08997109156515684), np.float64(0.023525454964243853), np.float64(0.03729824258840616))"
3,rbf_gamma1,lobpcg,0.29396451371907434,1.1597623238229993,-0.04623588473157767,"(np.float64(0.017122957817225833), np.float64(0.009924741101487411), np.float64(0.01256601707512212))"
3,rbf_gamma10,lobpcg,0.3608091430141265,0.7089630236551333,-0.0014701245632508654,"(np.float64(0.0002182714570512912), np.float64(0.0072065567837279135), np.float64(0.0004237096397376272))"
4,nearest_neighbors,lobpcg,-0.05284404420409876,1.6897854758046502,-0.03901516703010505,"(np.float64(0.01901013306947655), np.float64(0.00568566812946197), np.float64(0.008753334776164268))"
4,rbf_gamma0.1,lobpcg,0.24826341711622055,1.5410171998023194,0.009328021448131225,"(np.float64(0.08121957940901886), np.float64(0.014997928168907196), np.float64(0.025320244694527455))"
4,rbf_gamma1,lobpcg,0.23737266588017025,1.5378726959316376,-0.008805153839995248,"(np.float64(0.08812671247740406), np.float64(0.01991490088929384), np.float64(0.03248812545459003))"
4,rbf_gamma10,lobpcg,0.3069665245944824,1.1960186498362024,0.005508473587188086,"(np.float64(0.0019109850162743918), np.float64(0.03826062931521718), np.float64(0.0036401568894527422))"
5,nearest_neighbors,lobpcg,0.06446336644959792,1.648928188219622,0.015520575744563314,"(np.float64(0.050802751420827), np.float64(0.010675866772410832), np.float64(0.01764396864405485))"
5,rbf_gamma0.1,lobpcg,0.26648779283314095,1.417997345440607,0.012218387514916256,"(np.float64(0.13193643866676885), np.float64(0.02076191466120198), np.float64(0.035877964897485196))"
5,rbf_gamma1,lobpcg,0.24436316245855957,1.4399799774944104,-0.007500229117816684,"(np.float64(0.09583670777781697), np.float64(0.019055056516384703), np.float64(0.03178946540283411))"
5,rbf_gamma10,lobpcg,0.28681914233867317,0.6696485453300254,0.005510594641693279,"(np.float64(0.0035063567847444977), np.float64(0.06802926990730428), np.float64(0.006668981684540253))"
6,nearest_neighbors,lobpcg,0.12335092359193861,1.7825396106385076,0.015968535461618104,"(np.float64(0.09104174384432244), np.float64(0.014166017176346158), np.float64(0.024517181898962966))"
6,rbf_gamma0.1,lobpcg,0.28720527762943304,1.4107193170563679,-0.003564051881480384,"(np.float64(0.18555726137713294), np.float64(0.026135017281477664), np.float64(0.04581690237852973))"
6,rbf_gamma1,lobpcg,0.2550418635593293,1.3286316547252122,-0.013028601045595964,"(np.float64(0.045675593526303696), np.float64(0.008228751168498066), np.float64(0.013945187376989276))"
6,rbf_gamma10,lobpcg,0.27584772921574907,0.5169404610906682,-0.0024322081606084765,"(np.float64(0.0003638854227577667), np.float64(0.006848028051253863), np.float64(0.0006910503270642926))"
7,nearest_neighbors,lobpcg,0.09614373890172603,1.744652861851759,0.015582069907362025,"(np.float64(0.09122842356226812), np.float64(0.013850739729748686), np.float64(0.024050080170599276))"
7,rbf_gamma0.1,lobpcg,0.30593427883126867,1.3180187002516477,0.011887438104891306,"(np.float64(0.17381427170937386), np.float64(0.02225961160509959), np.float64(0.03946510482957639))"
7,rbf_gamma1,lobpcg,0.2776637541725079,1.24948157869081,0.00498327083819895,"(np.float64(0.09924657299264268), np.float64(0.01425928874586813), np.float64(0.024935902334281276))"
7,rbf_gamma10,lobpcg,0.2696650973042085,0.5125778997789169,0.005004864901078263,"(np.float64(0.0035788682412476905), np.float64(0.056126967252071745), np.float64(0.00672868971403857))"
8,nearest_neighbors,lobpcg,0.12522410286402236,1.6740381577354755,0.021327083798895318,"(np.float64(0.1153336269356644), np.float64(0.016907465536937498), np.float64(0.029491579148421793))"
8,rbf_gamma0.1,lobpcg,0.33216952897268864,1.237162314803498,0.0008117014443654139,"(np.float64(0.12570411830137218), np.float64(0.014778002891250166), np.float64(0.026446864667605673))"
8,rbf_gamma1,lobpcg,0.2781447709158393,1.325903848392205,-0.020197334452645495,"(np.float64(0.06421259005826967), np.float64(0.009663945565720066), np.float64(0.01679956889466016))"
8,rbf_gamma10,lobpcg,0.2631129243194076,0.5167776853077217,0.004503191940858736,"(np.float64(0.003651399574345219), np.float64(0.049084534728976156), np.float64(0.006797158392433324))"
9,nearest_neighbors,lobpcg,0.19438218986980443,1.7589927362316407,0.013900943468236313,"(np.float64(0.12254662214865271), np.float64(0.015971851356472867), np.float64(0.02826043896771215))"
9,rbf_gamma0.1,lobpcg,0.33248326117655147,1.3090721104812135,-0.003323887346307675,"(np.float64(0.15162060817523568), np.float64(0.01763962449791001), np.float64(0.03160258676378666))"
9,rbf_gamma1,lobpcg,0.2535208395102518,1.1441319398232224,-0.014667363423113117,"(np.float64(0.04597040060402878), np.float64(0.007860827989343486), np.float64(0.013425865290170015))"
9,rbf_gamma10,lobpcg,0.21527155979364163,0.5176890900301635,0.01186328038133939,"(np.float64(0.006870774719942145), np.float64(0.08081748337749058), np.float64(0.012664836404947673))"
